id,acquiring_company_name,acquiring_object_id,acquired_company_name,acquired_object_id,price_amount,funding_total_usd,status
1,Facebook,c:5,FriendFeed,c:1001,47500000,5000000,acquired
5,,,"ITOG, Inc.",c:10153,0,205000,closed
6,AOL,c:351,StudioNow,c:10158,36500000,15286415,acquired
7,Microsoft,c:1242,Yammer,c:10176,1200000000,142000000,acquired
9,Cisco,c:28,PostPath,c:10197,215000000,24300000,acquired
13,,,PlayerDuel,c:103204,0,21189,closed
15,,,Picateers,c:10398,0,12100000,closed
19,AOL,c:351,Surphace,c:105,25000000,3500000,acquired
20,Iron Mountain,c:21154,Mimosa Systems,c:10512,112000000,53816776,acquired
22,Vocus,c:4687,iContact,c:106,169000000,53350000,acquired
23,,,Geodelic Systems,c:10610,0,10500000,closed
25,Shanda Games,c:34079,Mochi Media,c:1069,80000000,14000000,acquired
27,,,Pixelpipe,c:10751,0,2300000,closed
29,Monsanto,c:29610,The Climate Corporation,c:1078,930000000,108900000,acquired
30,GSI Commerce,c:28712,FetchBack,c:10864,40000000,1000000,acquired
31,Yahoo!,c:29,Tumblr,c:1088,1100000000,125250000,acquired
33,,,ConSentry Networks,c:10913,0,46400000,closed
34,TIBCO Software,c:4967,LogLogic,c:10915,130000000,8800000,acquired
35,,,Semantra,c:10969,0,9100000,closed
39,,,Buzzwire,c:1120,0,12000000,closed
42,,,B-Side Entertainment,c:11397,0,7350000,closed
45,,,Predictify,c:1148,0,4300000,closed
46,,,WeAre.Us,c:11498,0,50000,closed
50,,,MyShape,c:11817,0,28000000,closed
51,NETGEAR,c:16675,Avaak,c:11888,31000000,17000000,acquired
52,,,Songbird,c:1205,0,11015719,closed
53,Amazon,c:317,Kiva Systems,c:12052,775000000,11600000,acquired
55,,,SolFocus,c:12099,0,211403000,closed
56,,,GridNetworks,c:1212,0,30000000,closed
57,AOL,c:351,Quigo,c:1214,363000000,35000000,acquired
58,IBM,c:3246,Guardium,c:12171,225000000,11800000,acquired
60,Salesforce,c:1972,ExactTarget,c:12178,2500000000,238209999,acquired
61,,,Vontoo,c:12179,0,2192000,closed
62,,,DubMeNow,c:12224,0,7516703,closed
64,DG,c:13228,Peer39,c:1224,15500000,29915001,acquired
65,McAfee,c:14236,MX Logic,c:12285,140000000,4000000,acquired
66,Oracle Corporation,c:2680,Vitrue,c:1234,300000000,33000000,acquired
67,Google,c:59,"Wildfire, a division of Google",c:12348,350000000,14100000,acquired
70,,,Faves,c:1253,0,1500000,closed
71,,,Goodmail Systems,c:12630,0,45000000,closed
73,IBM,c:3246,Trusteer,c:12723,800000000,10100000,acquired
74,Microsoft,c:1242,Farecast,c:128,115000000,20600000,acquired
75,Reply! Inc.,c:1316,MerchantCircle,c:1283,60000000,14300000,acquired
76,,,Minekey,c:1284,0,3600000,closed
77,Taylor Nelson Sofres,c:3063,Compete,c:1285,150000000,33000000,acquired
80,,,Newmerix,c:13006,0,7000000,closed
82,Google,c:59,DocVerse,c:13046,25000000,1300000,acquired
83,Green Dot Corporation,c:35247,Loopt,c:1309,43000000,32006000,acquired
85,,,CV Ingenuity,c:131583,0,30926154,closed
86,Monster,c:1735,Trovix,c:13168,72500000,18250000,acquired
88,,,GetBack,c:13277,0,1700000,closed
89,,,Q-magic,c:13358,0,650000,closed
91,,,GlobalCrypto,c:13410,0,1000000,closed
93,LiveUniverse,c:2358,Pageflakes,c:135,3000000,4100000,acquired
95,,,Planet Metrics,c:13504,0,2300000,closed
97,,,Azelon Pharmaceuticals,c:137274,0,6922000,closed
99,,,PublicEarth,c:13733,0,4000000,closed
103,FTI Consulting,c:26482,Attenex,c:13874,88000000,5000000,acquired
105,AOL,c:351,The Huffington Post,c:1388,315000000,37000000,acquired
106,,,NebuAd,c:1389,0,30150000,closed
107,,,Swivel,c:139,0,2000000,closed
108,,,Amadesa,c:13921,0,12800000,closed
109,,,MobileReactor,c:139729,0,1175000,closed
111,,,AutoVirt,c:14028,0,24300000,closed
112,Tellabs,c:34407,WiChorus,c:14036,165000000,42500000,acquired
114,AOL,c:351,Bebo,c:142,850000000,15000000,acquired
114,Reachd,c:5602,Bebo,c:142,10000000,15000000,acquired
115,,,Peek & Co,c:14345,0,626096,closed
117,,,xkoto,c:1445,0,11035000,closed
118,,,Press,c:144611,0,70000,closed
119,,,VeteranCentral.com,c:144631,0,150000,closed
120,,,DateMyFamily.com,c:144687,0,100000,closed
121,Equifax,c:2823,TrustedID,c:1447,30000000,25000000,acquired
122,,,CakeStyle,c:144825,0,1000000,closed
123,,,Hit Systems,c:14483,0,125000,closed
125,FIS,c:68232,mFoundry,c:14608,120000000,40300000,acquired
127,,,AdexLink,c:146596,0,2000000,closed
128,,,REMOTV,c:14666,0,2700000,closed
132,,,Classiphix,c:148284,0,15000,closed
133,Symantec,c:3320,Vontu,c:14854,350000000,20000000,acquired
134,,,"MoveableCode, Inc.",c:148566,0,350000,closed
141,WhitePages.com,c:2345,Snapvine,c:1499,10000000,12000000,acquired
142,,,Exit41,c:14993,0,24200000,closed
145,,,StyleZen,c:150577,0,20000,closed
148,blinkx,c:108,Rhythm NewMedia,c:15123,65000000,28932322,acquired
149,,,Zentact,c:15129,0,250000,closed
150,,,Utterz,c:1518,0,4000000,closed
151,,,Wantful,c:152560,0,5500000,closed
152,KEYW Corporation,c:40595,SenSage,c:15294,24000000,37079000,acquired
153,,,Gaston Labs,c:153403,0,100000,closed
154,Yahoo!,c:29,Dapper,c:1541,55000000,3000000,acquired
155,,,eBillme,c:15458,0,23000000,closed
157,Google,c:59,FeedBurner,c:155,100000000,8000000,acquired
158,,,Rudder,c:15509,0,2000000,closed
160,,,Friendsignia,c:155621,0,15000,closed
161,,,Nalace Corporation,c:155821,0,19000,closed
162,,,mBeat Media,c:15599,0,1500000,closed
165,,,SeeSaw Networks,c:15687,0,21138876,closed
167,,,Twitpay,c:15704,0,500000,closed
168,,,Robotgalaxy,c:15709,0,12000000,closed
169,,,Soshowise,c:157234,0,50000,closed
172,Western Digital,c:22518,Virident Systems,c:15829,685000000,129677153,acquired
173,,,Newfield Design,c:158294,0,662000,closed
175,"Verizon Communications, Inc.",c:4843,EdgeCast Networks,c:1587,350000000,74000000,acquired
176,,,Avega Systems,c:15870,0,9500000,closed
177,,,Hammerhead Systems,c:15887,0,48000000,closed
178,,,Neopolitan Networks,c:15888,0,3170000,closed
179,Incredimail,c:13906,Smilebox,c:1590,40000000,14000000,acquired
180,eBay,c:20,Bill Me Later,c:1595,945000000,100000000,acquired
181,ViaSat,c:33731,WildBlue,c:15996,568000000,50000000,acquired
182,Walmart,c:29025,Kosmix,c:1600,300000000,55000000,acquired
184,,,VoloMedia,c:16066,0,12000000,closed
185,Twitter,c:12,Summize,c:1607,15000000,750000,acquired
187,,,Applied Identity,c:16111,0,33000000,closed
188,Amazon,c:317,Goodreads,c:1612,150000000,2750000,acquired
189,British Telecom,c:4196,Ribbit,c:1613,105000000,11000000,acquired
190,,,Kickfire,c:16134,0,20000000,closed
192,Hewlett-Packard,c:355,ArcSight,c:16178,1500000000,26914000,acquired
193,,,AdYouNet,c:16179,0,1400000,closed
194,LSI,c:5722,ONStor,c:16181,25000000,65800000,acquired
195,Broadcom,c:17124,Provigent,c:16189,313000000,32000000,acquired
198,,,Contur,c:162219,0,20000,closed
199,,,Aquest Systems,c:16264,0,20000000,closed
200,,,WeShow,c:1627,0,5000000,closed
201,Spirent Communications,c:65077,Mu Dynamics,c:16271,40000000,24000000,acquired
203,Intel,c:71,Sensory Networks,c:16276,20000000,17400000,acquired
204,Skype,c:62,Qik,c:1628,150000000,14800000,acquired
212,,,RipCode,c:1637,0,33000000,closed
214,,,"RiverGlass, Inc.",c:16406,0,6400000,closed
216,,,Digital Performance,c:16488,0,4476171,closed
217,,,Turf Geography Club,c:164922,0,890000,closed
222,,,Rapport,c:16607,0,25500000,closed
224,Tessera,c:9514,Siimpel Corporation,c:16613,15000000,53818873,acquired
225,Vonage,c:7618,Vocalocity,c:16618,130000000,13600000,acquired
226,,,27 Perry,c:166763,0,118000,closed
228,Zynga,c:1812,Challenge Games,c:1669,20500000,14500000,acquired
229,,,Sway,c:167,0,2000000,closed
230,,,Focus,c:16709,0,12170000,closed
