,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,status,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500
0,CA,37.39248,-122.072612,94041,c:1001,Mountain View,,FriendFeed,acquired,1,10/1/2007,,2/26/2008,2/26/2008,0.4055,0.4055,0.5836,4.9562,14,1,5000000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:1001,0,0,1,0,0,0,3.0,1
1,MA,42.368633,-71.075305,2210,c:10054,Boston,,Jumptap,acquired,1,1/1/2005,,3/1/2005,7/2/2012,0.1616,7.5041,7.0521,8.6192,45,7,121500000,3,MA,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:10054,1,0,1,1,1,1,4.5,1
2,NY,40.745064,-73.992637,10001,c:101312,New York,,SideTour,acquired,1,6/1/2011,,7/1/2011,3/25/2013,0.0822,1.8164,1.0849,2.3014,7,3,4000000,2,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:101312,0,1,1,0,0,0,2.0,1
3,NY,40.775309,-73.98365600000001,10001,c:10137,New York,,Producteev,acquired,1,7/8/2008,,7/15/2008,2/1/2010,0.0192,1.5699,2.4849,4.8712,12,3,1310000,2,NY,0,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:10137,0,1,0,0,0,0,6.0,1
4,MO,38.703764,-90.443832,63043,c:10153,Saint Louis,,"ITOG, Inc.",closed,0,9/19/2006,4/16/2010,2/11/2008,2/11/2008,1.3973,1.3973,,,1,1,205000,0,MO,0,0,0,0,1,network_hosting,0,0,0,0,0,0,0,0,0,1,c:10153,0,1,0,0,0,0,1.0,0
5,TN,36.139959999999995,-86.796377,37212,c:10158,Nashville,,StudioNow,acquired,1,1/1/2007,,6/15/2007,1/29/2013,0.4521,6.0822,3.7425,3.7425,2,3,15286415,1,TN,0,0,0,0,1,photo_video,0,0,0,0,0,0,0,0,0,1,c:10158,0,0,1,0,0,0,1.0,0
6,CA,37.776246,-122.4179223,94103,c:10176,San Francisco,,Yammer,acquired,1,9/10/2008,,1/19/2009,2/29/2012,0.3589,3.4712,3.3397,5.1918,38,5,142000000,3,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:10176,0,0,1,1,1,1,5.2,1
7,CA,37.7983181,-122.40000320000001,94111,c:10179,San Francisco,,GoodGuide,acquired,1,12/1/2007,,1/19/2009,8/26/2011,1.137,3.737,2.463,3.2164,14,3,14229998,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:10179,0,0,1,1,0,0,3.0,1
8,CA,37.390501,-122.081151,94041,c:10197,Mountain View,,PostPath,acquired,1,1/1/2003,,12/7/2004,1/16/2007,1.9342,4.0438,2.0027,10.189,2,2,24300000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:10197,0,0,0,1,1,0,2.5,1
9,IL,41.916619,-87.686634,60647,c:10199,Chicago,,Where I've Been,acquired,1,6/8/2007,,3/15/2008,4/15/2010,0.7699,2.8548,-0.4329,2.8521,3,2,1750000,2,IL,0,0,0,0,1,travel,0,0,0,0,0,0,0,0,0,1,c:10199,1,1,0,0,0,0,1.0,1
